PROJNUM,Goal,OtherGoal,cfsSpecified
20060766,increase native plant species composition,,
20060766,increase upland water storage capacity,,
20060767,improve/increase stream flow,,
20060767,education,,
20060768,decrease livestock access to stream,,
20060769,decrease erosion/stream sedimentation,,
20060769,decrease run-off contaminant input,,
20060769,increase native plant species composition,,
20060770,decrease erosion/stream sedimentation,,
20060770,"increase upslope stability (soil, road)",,
20060770,increase native plant species composition,,
20060770,increase upland water storage capacity,,
20060770,other,juniper removal increased infiltration,
20060771,decrease run-off contaminant input,,
20060772,improve/increase stream structure & complexity,,
20060772,improve/increase stream gravel recruitment,,
20060772,improve/increase stream spawning habitat,,
20060772,improve/increase stream rearing habitat,,
20060772,improve/increase stream summer habitat,,
20060773,improve/increase stream structure & complexity,,
20060773,improve/increase stream interaction with floodplain,,
20060773,improve/increase stream pools,,
20060773,increase streambank stabilization/protection,,
20060774,increase future stream shading/increase vegetation to provide shade,,
20060774,increase streambank stabilization/protection,,
20060774,decrease erosion/stream sedimentation,,
20060774,decrease livestock access to stream,,
20060775,improve/increase fish passage,,
20060775,increase streambank stabilization/protection,,
20060775,decrease erosion/stream sedimentation,,
20060775,other,Improve Irrigation efficiency,
20060776,improve/increase stream structure & complexity,,
20060776,improve/increase stream interaction with floodplain,,
20060776,improve/increase stream rearing habitat,,
20060776,improve/increase stream pools,,
20060776,increase streambank stabilization/protection,,
20060777,improve/increase fish passage,,
20060777,increase streambank stabilization/protection,,
20060777,increase/improve water conservation,,
20060777,provide fish protection (e.g. by screening diversions),,
20060778,improve/increase fish passage,,
20060779,improve/increase fish passage,,
20060780,improve/increase fish passage,,
20060781,improve/increase fish passage,,
20060782,increase storage capacity of wetland,,
20060782,increase net area of wetland,,
20060782,increase the number of wetland types at site,,
20060782,increase wetland connection to adjacent natural area,,
20060782,increase/improve aquatic habitat,,
20060783,improve/increase fish passage,,
20060784,improve/increase stream structure & complexity,,
20060784,improve/increase fish passage,,
20060784,improve/increase stream pools,,
20060784,increase future LWD recruitment to stream,,
20060784,increase future stream shading/increase vegetation to provide shade,,
20060785,improve/increase stream structure & complexity,,
20060785,improve/increase stream spawning habitat,,
20060785,decrease erosion/stream sedimentation,,
20060785,decrease run-off contaminant input,,
20060785,increase road/upslope drainage,,
20060786,"increase upslope stability (soil, road)",,
20060787,"increase upslope stability (soil, road)",,
20060788,"increase upslope stability (soil, road)",,
20060789,"increase upslope stability (soil, road)",,
20060790,"increase upslope stability (soil, road)",,
20060791,"increase upslope stability (soil, road)",,
20060792,"increase upslope stability (soil, road)",,
20060793,"increase upslope stability (soil, road)",,
20060794,"increase upslope stability (soil, road)",,
20060795,"increase upslope stability (soil, road)",,
20060796,"increase upslope stability (soil, road)",,
20060797,"increase upslope stability (soil, road)",,
20060798,"increase upslope stability (soil, road)",,
20060799,"increase upslope stability (soil, road)",,
20060800,"increase upslope stability (soil, road)",,
20060801,decrease erosion/stream sedimentation,,
20060801,decrease run-off contaminant input,,
20060802,improve/increase stream spawning habitat,,
20060802,increase future LWD recruitment to stream,,
20060802,increase future stream shading/increase vegetation to provide shade,,
20060802,increase streambank stabilization/protection,,
20060802,decrease erosion/stream sedimentation,,
20060802,increase storage capacity of wetland,,
20060802,increase net area of wetland,,
20060802,increase the number of wetland types at site,,
20060802,increase wetland connection to adjacent natural area,,
20060803,increase future stream shading/increase vegetation to provide shade,,
20060803,increase streambank stabilization/protection,,
20060803,decrease erosion/stream sedimentation,,
20060803,decrease run-off contaminant input,,
20060803,decrease livestock access to stream,,
20060804,increase streambank stabilization/protection,,
20060804,decrease livestock access to stream,,
20060805,increase future LWD recruitment to stream,,
20060805,increase future stream shading/increase vegetation to provide shade,,
20060806,increase future LWD recruitment to stream,,
20060806,increase future stream shading/increase vegetation to provide shade,,
20060807,increase future LWD recruitment to stream,,
20060807,increase future stream shading/increase vegetation to provide shade,,
20060808,increase future LWD recruitment to stream,,
20060808,increase future stream shading/increase vegetation to provide shade,,
20060809,increase future LWD recruitment to stream,,
20060809,increase future stream shading/increase vegetation to provide shade,,
20060810,increase future LWD recruitment to stream,,
20060810,increase future stream shading/increase vegetation to provide shade,,
20060811,increase future LWD recruitment to stream,,
20060811,increase future stream shading/increase vegetation to provide shade,,
20060812,increase future LWD recruitment to stream,,
20060812,increase future stream shading/increase vegetation to provide shade,,
20060813,increase future LWD recruitment to stream,,
20060813,increase future stream shading/increase vegetation to provide shade,,
20060814,increase future LWD recruitment to stream,,
20060814,increase future stream shading/increase vegetation to provide shade,,
20060815,increase future LWD recruitment to stream,,
20060815,increase future stream shading/increase vegetation to provide shade,,
20060816,increase future LWD recruitment to stream,,
20060816,increase future stream shading/increase vegetation to provide shade,,
20060817,increase future LWD recruitment to stream,,
20060817,increase future stream shading/increase vegetation to provide shade,,
20060818,increase future LWD recruitment to stream,,
20060818,increase future stream shading/increase vegetation to provide shade,,
20060819,increase future LWD recruitment to stream,,
20060819,increase future stream shading/increase vegetation to provide shade,,
20060820,increase future LWD recruitment to stream,,
20060820,increase future stream shading/increase vegetation to provide shade,,
20060821,increase future LWD recruitment to stream,,
20060821,increase future stream shading/increase vegetation to provide shade,,
20060822,increase future LWD recruitment to stream,,
20060822,increase future stream shading/increase vegetation to provide shade,,
20060823,increase future LWD recruitment to stream,,
20060823,increase future stream shading/increase vegetation to provide shade,,
20060824,increase future LWD recruitment to stream,,
20060824,increase future stream shading/increase vegetation to provide shade,,
20060825,increase future LWD recruitment to stream,,
20060826,increase future stream shading/increase vegetation to provide shade,,
20060827,increase future LWD recruitment to stream,,
20060827,increase future stream shading/increase vegetation to provide shade,,
20060828,increase future LWD recruitment to stream,,
20060828,increase future stream shading/increase vegetation to provide shade,,
20060829,increase future LWD recruitment to stream,,
20060829,increase future stream shading/increase vegetation to provide shade,,
20060830,increase future LWD recruitment to stream,,
20060830,increase future stream shading/increase vegetation to provide shade,,
20060831,increase future LWD recruitment to stream,,
20060831,increase future stream shading/increase vegetation to provide shade,,
20060832,increase future LWD recruitment to stream,,
20060832,increase future stream shading/increase vegetation to provide shade,,
20060833,increase future LWD recruitment to stream,,
20060833,increase future stream shading/increase vegetation to provide shade,,
20060834,increase future LWD recruitment to stream,,
20060834,increase future stream shading/increase vegetation to provide shade,,
20060835,increase future LWD recruitment to stream,,
20060835,increase future stream shading/increase vegetation to provide shade,,
20060836,increase future LWD recruitment to stream,,
20060836,increase future stream shading/increase vegetation to provide shade,,
20060837,increase future LWD recruitment to stream,,
20060837,increase future stream shading/increase vegetation to provide shade,,
20060838,increase future LWD recruitment to stream,,
20060838,increase future stream shading/increase vegetation to provide shade,,
20060839,increase future LWD recruitment to stream,,
20060839,increase future stream shading/increase vegetation to provide shade,,
20060840,increase future LWD recruitment to stream,,
20060840,increase future stream shading/increase vegetation to provide shade,,
20060841,increase future LWD recruitment to stream,,
20060841,increase future stream shading/increase vegetation to provide shade,,
20060842,increase future LWD recruitment to stream,,
20060842,increase future stream shading/increase vegetation to provide shade,,
20060843,increase future LWD recruitment to stream,,
20060843,increase future stream shading/increase vegetation to provide shade,,
20060844,increase future LWD recruitment to stream,,
20060844,increase future stream shading/increase vegetation to provide shade,,
20060845,increase future LWD recruitment to stream,,
20060845,increase future stream shading/increase vegetation to provide shade,,
20060846,increase future LWD recruitment to stream,,
20060846,increase future stream shading/increase vegetation to provide shade,,
20060847,increase future LWD recruitment to stream,,
20060847,increase future stream shading/increase vegetation to provide shade,,
20060848,increase future LWD recruitment to stream,,
20060848,increase future stream shading/increase vegetation to provide shade,,
20060849,increase future LWD recruitment to stream,,
20060849,increase future stream shading/increase vegetation to provide shade,,
20060850,increase future LWD recruitment to stream,,
20060850,increase future stream shading/increase vegetation to provide shade,,
20060851,increase future LWD recruitment to stream,,
20060851,increase future stream shading/increase vegetation to provide shade,,
20060852,increase future LWD recruitment to stream,,
20060852,increase future stream shading/increase vegetation to provide shade,,
20060853,increase future LWD recruitment to stream,,
20060853,increase future stream shading/increase vegetation to provide shade,,
20060854,increase future LWD recruitment to stream,,
20060854,increase future stream shading/increase vegetation to provide shade,,
20060855,increase future LWD recruitment to stream,,
20060855,increase future stream shading/increase vegetation to provide shade,,
20060856,increase future LWD recruitment to stream,,
20060856,increase future stream shading/increase vegetation to provide shade,,
20060857,increase future LWD recruitment to stream,,
20060857,increase future stream shading/increase vegetation to provide shade,,
20060858,increase future LWD recruitment to stream,,
20060858,increase future stream shading/increase vegetation to provide shade,,
20060859,increase future LWD recruitment to stream,,
20060859,increase future stream shading/increase vegetation to provide shade,,
20060860,increase future LWD recruitment to stream,,
20060860,increase future stream shading/increase vegetation to provide shade,,
20060861,increase future LWD recruitment to stream,,
20060861,increase future stream shading/increase vegetation to provide shade,,
20060862,increase future LWD recruitment to stream,,
20060862,increase future stream shading/increase vegetation to provide shade,,
20060863,increase future LWD recruitment to stream,,
20060863,increase future stream shading/increase vegetation to provide shade,,
20060864,increase future LWD recruitment to stream,,
20060864,increase future stream shading/increase vegetation to provide shade,,
20060865,increase future LWD recruitment to stream,,
20060865,increase future stream shading/increase vegetation to provide shade,,
20060866,increase future LWD recruitment to stream,,
20060866,increase future stream shading/increase vegetation to provide shade,,
20060867,increase future LWD recruitment to stream,,
20060867,increase future stream shading/increase vegetation to provide shade,,
20060868,increase future LWD recruitment to stream,,
20060868,increase future stream shading/increase vegetation to provide shade,,
20060869,increase future LWD recruitment to stream,,
20060869,increase future stream shading/increase vegetation to provide shade,,
20060870,increase future LWD recruitment to stream,,
20060870,increase future stream shading/increase vegetation to provide shade,,
20060871,increase future LWD recruitment to stream,,
20060871,increase future stream shading/increase vegetation to provide shade,,
20060872,increase future LWD recruitment to stream,,
20060872,increase future stream shading/increase vegetation to provide shade,,
20060873,increase future LWD recruitment to stream,,
20060873,increase future stream shading/increase vegetation to provide shade,,
20060874,increase future LWD recruitment to stream,,
20060874,increase future stream shading/increase vegetation to provide shade,,
20060875,increase future LWD recruitment to stream,,
20060875,increase future stream shading/increase vegetation to provide shade,,
20060876,increase future LWD recruitment to stream,,
20060876,increase future stream shading/increase vegetation to provide shade,,
20060877,increase future LWD recruitment to stream,,
20060877,increase future stream shading/increase vegetation to provide shade,,
20060878,increase future LWD recruitment to stream,,
20060878,increase future stream shading/increase vegetation to provide shade,,
20060879,increase future LWD recruitment to stream,,
20060879,increase future stream shading/increase vegetation to provide shade,,
20060880,increase future LWD recruitment to stream,,
20060880,increase future stream shading/increase vegetation to provide shade,,
20060881,increase future LWD recruitment to stream,,
20060881,increase future stream shading/increase vegetation to provide shade,,
20060882,increase future LWD recruitment to stream,,
20060882,increase future stream shading/increase vegetation to provide shade,,
20060883,increase future LWD recruitment to stream,,
20060883,increase future stream shading/increase vegetation to provide shade,,
20060884,increase future LWD recruitment to stream,,
20060884,increase future stream shading/increase vegetation to provide shade,,
20060885,increase future LWD recruitment to stream,,
20060885,increase future stream shading/increase vegetation to provide shade,,
20060886,increase future LWD recruitment to stream,,
20060886,increase future stream shading/increase vegetation to provide shade,,
20060887,increase future LWD recruitment to stream,,
20060887,increase future stream shading/increase vegetation to provide shade,,
20060888,increase future LWD recruitment to stream,,
20060888,increase future stream shading/increase vegetation to provide shade,,
20060889,increase future LWD recruitment to stream,,
20060889,increase future stream shading/increase vegetation to provide shade,,
20060890,increase future LWD recruitment to stream,,
20060890,increase future stream shading/increase vegetation to provide shade,,
20060891,increase future LWD recruitment to stream,,
20060891,increase future stream shading/increase vegetation to provide shade,,
20060892,increase future LWD recruitment to stream,,
20060892,increase future stream shading/increase vegetation to provide shade,,
20060893,increase future LWD recruitment to stream,,
20060893,increase future stream shading/increase vegetation to provide shade,,
20060894,increase future LWD recruitment to stream,,
20060894,increase future stream shading/increase vegetation to provide shade,,
20060895,increase future LWD recruitment to stream,,
20060895,increase future stream shading/increase vegetation to provide shade,,
20060896,increase future LWD recruitment to stream,,
20060896,increase future stream shading/increase vegetation to provide shade,,
20060897,increase future LWD recruitment to stream,,
20060897,increase future stream shading/increase vegetation to provide shade,,
20060898,increase future LWD recruitment to stream,,
20060898,increase future stream shading/increase vegetation to provide shade,,
20060899,increase future LWD recruitment to stream,,
20060899,increase future stream shading/increase vegetation to provide shade,,
20060900,increase future LWD recruitment to stream,,
20060900,increase future stream shading/increase vegetation to provide shade,,
20060901,increase future LWD recruitment to stream,,
20060901,increase future stream shading/increase vegetation to provide shade,,
20060902,increase future LWD recruitment to stream,,
20060902,increase future stream shading/increase vegetation to provide shade,,
20060903,increase future LWD recruitment to stream,,
20060903,increase future stream shading/increase vegetation to provide shade,,
20060904,increase future LWD recruitment to stream,,
20060904,increase future stream shading/increase vegetation to provide shade,,
20060905,increase future LWD recruitment to stream,,
20060905,increase future stream shading/increase vegetation to provide shade,,
20060906,increase future LWD recruitment to stream,,
20060906,increase future stream shading/increase vegetation to provide shade,,
20060907,increase future LWD recruitment to stream,,
20060907,increase future stream shading/increase vegetation to provide shade,,
20060908,increase future LWD recruitment to stream,,
20060908,increase future stream shading/increase vegetation to provide shade,,
20060909,increase future LWD recruitment to stream,,
20060910,increase future LWD recruitment to stream,,
20060910,increase future stream shading/increase vegetation to provide shade,,
20060911,increase future LWD recruitment to stream,,
20060911,increase future stream shading/increase vegetation to provide shade,,
20060912,increase future LWD recruitment to stream,,
20060912,increase future stream shading/increase vegetation to provide shade,,
20060913,increase future LWD recruitment to stream,,
20060913,increase future stream shading/increase vegetation to provide shade,,
20060914,increase future LWD recruitment to stream,,
20060914,increase future stream shading/increase vegetation to provide shade,,
20060915,increase future LWD recruitment to stream,,
20060915,increase future stream shading/increase vegetation to provide shade,,
20060916,increase future LWD recruitment to stream,,
20060916,increase future stream shading/increase vegetation to provide shade,,
20060917,increase future LWD recruitment to stream,,
20060917,increase future stream shading/increase vegetation to provide shade,,
20060918,decrease livestock access to stream,,
20060920,increase future stream shading/increase vegetation to provide shade,,
20060920,decrease erosion/stream sedimentation,,
20060921,increase future stream shading/increase vegetation to provide shade,,
20060921,decrease erosion/stream sedimentation,,
20060921,decrease stream temperature,,
20060921,"increase upslope stability (soil, road)",,
20060923,increase future LWD recruitment to stream,,
20060923,increase future stream shading/increase vegetation to provide shade,,
20060923,increase streambank stabilization/protection,,
20060923,decrease erosion/stream sedimentation,,
20060924,increase future LWD recruitment to stream,,
20060924,increase streambank stabilization/protection,,
20060924,decrease erosion/stream sedimentation,,
20060924,"increase upslope stability (soil, road)",,
20060924,increase road/upslope drainage,,
20060925,increase future LWD recruitment to stream,,
20060925,increase streambank stabilization/protection,,
20060925,decrease erosion/stream sedimentation,,
20060925,"increase upslope stability (soil, road)",,
20060925,increase road/upslope drainage,,
20060926,increase future LWD recruitment to stream,,
20060926,increase streambank stabilization/protection,,
20060926,decrease erosion/stream sedimentation,,
20060926,"increase upslope stability (soil, road)",,
20060926,increase road/upslope drainage,,
20060927,increase future LWD recruitment to stream,,
20060927,increase streambank stabilization/protection,,
20060927,decrease erosion/stream sedimentation,,
20060927,"increase upslope stability (soil, road)",,
20060927,increase road/upslope drainage,,
20060928,increase future LWD recruitment to stream,,
20060928,increase streambank stabilization/protection,,
20060928,decrease erosion/stream sedimentation,,
20060928,"increase upslope stability (soil, road)",,
20060928,increase road/upslope drainage,,
20060929,increase future LWD recruitment to stream,,
20060929,increase streambank stabilization/protection,,
20060929,decrease erosion/stream sedimentation,,
20060929,"increase upslope stability (soil, road)",,
20060929,increase road/upslope drainage,,
20060930,increase future LWD recruitment to stream,,
20060930,increase streambank stabilization/protection,,
20060930,decrease erosion/stream sedimentation,,
20060930,"increase upslope stability (soil, road)",,
20060930,increase road/upslope drainage,,
20060931,increase future LWD recruitment to stream,,
20060931,decrease erosion/stream sedimentation,,
20060932,improve/increase stream structure & complexity,,
20060932,improve/increase stream gravel recruitment,,
20060932,improve/increase stream spawning habitat,,
20060932,improve/increase stream rearing habitat,,
20060932,improve/increase stream pools,,
20060932,improve/increase stream over-winter habitat,,
20060932,increase future LWD recruitment to stream,,
20060932,increase streambank stabilization/protection,,
20060932,decrease erosion/stream sedimentation,,
20060932,"increase upslope stability (soil, road)",,
20060933,increase future LWD recruitment to stream,,
20060933,increase streambank stabilization/protection,,
20060933,other,provide source of fish logs for future projects,
20060934,increase future LWD recruitment to stream,,
20060934,increase streambank stabilization/protection,,
20060934,decrease erosion/stream sedimentation,,
20060934,"increase upslope stability (soil, road)",,
20060934,increase road/upslope drainage,,
20060935,increase future LWD recruitment to stream,,
20060935,increase streambank stabilization/protection,,
20060935,decrease erosion/stream sedimentation,,
20060935,"increase upslope stability (soil, road)",,
20060935,increase road/upslope drainage,,
20060936,increase future LWD recruitment to stream,,
20060936,increase streambank stabilization/protection,,
20060936,decrease erosion/stream sedimentation,,
20060936,"increase upslope stability (soil, road)",,
20060936,increase road/upslope drainage,,
20060937,increase future LWD recruitment to stream,,
20060937,increase streambank stabilization/protection,,
20060937,decrease erosion/stream sedimentation,,
20060937,"increase upslope stability (soil, road)",,
20060937,increase road/upslope drainage,,
20060938,increase future LWD recruitment to stream,,
20060938,increase future stream shading/increase vegetation to provide shade,,
20060938,increase streambank stabilization/protection,,
20060938,decrease erosion/stream sedimentation,,
20060938,decrease run-off contaminant input,,
20060938,"increase upslope stability (soil, road)",,
20060938,increase road/upslope drainage,,
20060939,increase future LWD recruitment to stream,,
20060939,increase future stream shading/increase vegetation to provide shade,,
20060939,increase streambank stabilization/protection,,
20060939,decrease run-off contaminant input,,
20060939,increase road/upslope drainage,,
20060939,other,ungulate foraging,
20060940,increase road/upslope drainage,,
20060940,other,Ungulate Foraging,
20060941,increase future LWD recruitment to stream,,
20060941,increase future stream shading/increase vegetation to provide shade,,
20060941,increase streambank stabilization/protection,,
20060941,decrease erosion/stream sedimentation,,
20060941,"increase upslope stability (soil, road)",,
20060941,increase road/upslope drainage,,
20060942,increase future LWD recruitment to stream,,
20060942,increase future stream shading/increase vegetation to provide shade,,
20060942,increase streambank stabilization/protection,,
20060942,decrease erosion/stream sedimentation,,
20060943,increase future LWD recruitment to stream,,
20060943,increase future stream shading/increase vegetation to provide shade,,
20060943,increase streambank stabilization/protection,,
20060943,decrease erosion/stream sedimentation,,
20060944,improve/increase stream structure & complexity,,
20060944,improve/increase stream interaction with floodplain,,
20060944,improve/increase stream flow,,
20060944,improve/increase stream gravel recruitment,,
20060944,improve/increase stream spawning habitat,,
20060944,improve/increase stream rearing habitat,,
20060944,improve/increase stream pools,,
20060944,improve/increase stream over-winter habitat,,
20060944,improve/increase stream summer habitat,,
20060944,increase future LWD recruitment to stream,,
20060944,increase future stream shading/increase vegetation to provide shade,,
20060944,increase streambank stabilization/protection,,
20060944,decrease livestock access to stream,,
20060945,increase future stream shading/increase vegetation to provide shade,,
20060945,decrease erosion/stream sedimentation,,
20060945,decrease run-off contaminant input,,
20060945,decrease stream temperature,,
20060945,decrease livestock access to stream,,
20060946,increase future LWD recruitment to stream,,
20060946,increase streambank stabilization/protection,,
20060947,decrease erosion/stream sedimentation,,
20060947,decrease run-off contaminant input,,
20060947,increase/improve water conservation,,
20060948,increase future LWD recruitment to stream,,
20060948,increase future stream shading/increase vegetation to provide shade,,
20060948,increase streambank stabilization/protection,,
20060949,increase future LWD recruitment to stream,,
20060949,increase future stream shading/increase vegetation to provide shade,,
20060949,increase streambank stabilization/protection,,
20060949,decrease erosion/stream sedimentation,,
20060949,decrease run-off contaminant input,,
20060949,decrease livestock access to stream,,
20060950,increase future LWD recruitment to stream,,
20060950,increase future stream shading/increase vegetation to provide shade,,
20060950,increase streambank stabilization/protection,,
20060951,increase future LWD recruitment to stream,,
20060951,increase future stream shading/increase vegetation to provide shade,,
20060951,increase streambank stabilization/protection,,
20060951,decrease erosion/stream sedimentation,,
20060951,decrease run-off contaminant input,,
20060951,decrease livestock access to stream,,
20060952,increase future LWD recruitment to stream,,
20060952,increase future stream shading/increase vegetation to provide shade,,
20060952,increase streambank stabilization/protection,,
20060952,decrease run-off contaminant input,,
20060952,decrease livestock access to stream,,
20060953,increase future LWD recruitment to stream,,
20060953,increase future stream shading/increase vegetation to provide shade,,
20060953,increase streambank stabilization/protection,,
20060953,decrease erosion/stream sedimentation,,
20060953,decrease run-off contaminant input,,
20060953,decrease livestock access to stream,,
20060954,increase future LWD recruitment to stream,,
20060954,increase future stream shading/increase vegetation to provide shade,,
20060954,increase streambank stabilization/protection,,
20060955,improve/increase fish passage,,
20060955,other,eliminate glacier siltation,
20060956,increase streambank stabilization/protection,,
20060956,decrease erosion/stream sedimentation,,
20060956,decrease livestock access to stream,,
20060956,increase native plant species composition,,
20060957,decrease livestock access to stream,,
20060957,increase upland water storage capacity,,
20060958,increase future stream shading/increase vegetation to provide shade,,
20060958,increase streambank stabilization/protection,,
20060958,decrease erosion/stream sedimentation,,
20060958,decrease run-off contaminant input,,
20060958,decrease stream temperature,,
20060958,decrease livestock access to stream,,
20060958,increase native plant species composition,,
20060959,increase streambank stabilization/protection,,
20060959,decrease erosion/stream sedimentation,,
20060959,decrease run-off contaminant input,,
20060959,decrease livestock access to stream,,
20060960,decrease erosion/stream sedimentation,,
20060960,decrease run-off contaminant input,,
20060960,"increase upslope stability (soil, road)",,
20060961,increase streambank stabilization/protection,,
20060961,decrease livestock access to stream,,
20060962,decrease run-off contaminant input,,
20060962,decrease livestock access to stream,,
20060963,decrease erosion/stream sedimentation,,
20060963,increase/improve water conservation,,
20060963,other,Decrease spread of noxious weeds,
20060964,improve/increase stream structure & complexity,,
20060964,improve/increase stream interaction with floodplain,,
20060964,improve/increase fish passage,,
20060964,increase streambank stabilization/protection,,
20060964,decrease erosion/stream sedimentation,,
20060964,"increase wildlife habitat (vegetation for food, cover, or nesting)",,
20060964,decrease livestock access to stream,,
20060964,increase storage capacity of wetland,,
20060964,increase net area of wetland,,
20060964,increase water to stream during low flows,,
20060965,improve/increase stream structure & complexity,,
20060965,improve/increase stream interaction with floodplain,,
20060965,improve/increase stream flow,,
20060965,improve/increase fish passage,,
20060965,improve/increase stream summer habitat,,
20060965,increase future LWD recruitment to stream,,
20060966,improve/increase stream structure & complexity,,
20060966,improve/increase stream interaction with floodplain,,
20060966,improve/increase stream flow,,
20060966,increase future LWD recruitment to stream,,
20060966,increase streambank stabilization/protection,,
20060966,decrease erosion/stream sedimentation,,
20060966,decrease livestock access to stream,,
20060966,increase upland water storage capacity,,
20060967,increase future LWD recruitment to stream,,
20060967,increase future stream shading/increase vegetation to provide shade,,
20060967,decrease erosion/stream sedimentation,,
20060967,decrease run-off contaminant input,,
20060967,decrease stream temperature,,
20060967,decrease livestock access to stream,,
20060968,increase future stream shading/increase vegetation to provide shade,,
20060968,increase streambank stabilization/protection,,
20060968,decrease erosion/stream sedimentation,,
20060968,education,education and awareness,
20060969,increase future stream shading/increase vegetation to provide shade,,
20060969,increase streambank stabilization/protection,,
20060969,decrease erosion/stream sedimentation,,
20060969,education,education and awareness,
20060970,increase future stream shading/increase vegetation to provide shade,,
20060970,increase streambank stabilization/protection,,
20060970,decrease erosion/stream sedimentation,,
20060970,education,education and awareness,
20060971,increase future stream shading/increase vegetation to provide shade,,
20060971,increase streambank stabilization/protection,,
20060971,decrease erosion/stream sedimentation,,
20060971,education,education and awareness,
20060972,increase future stream shading/increase vegetation to provide shade,,
20060972,increase streambank stabilization/protection,,
20060972,decrease erosion/stream sedimentation,,
20060972,education,education and awareness,
20060973,increase future stream shading/increase vegetation to provide shade,,
20060973,increase streambank stabilization/protection,,
20060973,decrease erosion/stream sedimentation,,
20060973,education,education and awareness,
20060974,increase future stream shading/increase vegetation to provide shade,,
20060974,increase streambank stabilization/protection,,
20060974,decrease erosion/stream sedimentation,,
20060974,education,education and awareness,
20060975,increase future stream shading/increase vegetation to provide shade,,
20060975,increase streambank stabilization/protection,,
20060975,decrease erosion/stream sedimentation,,
20060975,education,education and awareness,
20060976,increase future stream shading/increase vegetation to provide shade,,
20060976,increase streambank stabilization/protection,,
20060976,decrease erosion/stream sedimentation,,
20060976,education,education and awareness,
20060977,increase future stream shading/increase vegetation to provide shade,,
20060977,increase streambank stabilization/protection,,
20060977,decrease erosion/stream sedimentation,,
20060977,education,education and awareness,
20060978,increase future stream shading/increase vegetation to provide shade,,
20060978,increase streambank stabilization/protection,,
20060978,decrease erosion/stream sedimentation,,
20060978,education,education and awareness,
20060979,increase future stream shading/increase vegetation to provide shade,,
20060979,increase streambank stabilization/protection,,
20060979,decrease erosion/stream sedimentation,,
20060979,education,education and awareness,
20060980,increase future stream shading/increase vegetation to provide shade,,
20060980,increase streambank stabilization/protection,,
20060980,decrease erosion/stream sedimentation,,
20060980,education,education and awareness,
20060981,increase future stream shading/increase vegetation to provide shade,,
20060981,increase streambank stabilization/protection,,
20060981,decrease erosion/stream sedimentation,,
20060981,education,education and awareness,
20060982,increase future stream shading/increase vegetation to provide shade,,
20060982,increase streambank stabilization/protection,,
20060982,decrease erosion/stream sedimentation,,
20060982,education,education and awareness,
20060983,increase future stream shading/increase vegetation to provide shade,,
20060983,increase streambank stabilization/protection,,
20060983,decrease erosion/stream sedimentation,,
20060983,education,education and awareness,
20060984,increase future stream shading/increase vegetation to provide shade,,
20060984,increase streambank stabilization/protection,,
20060984,decrease erosion/stream sedimentation,,
20060984,education,education and awareness,
20060985,increase future stream shading/increase vegetation to provide shade,,
20060985,increase streambank stabilization/protection,,
20060985,decrease erosion/stream sedimentation,,
20060985,education,education and awareness,
20060986,increase future stream shading/increase vegetation to provide shade,,
20060986,increase streambank stabilization/protection,,
20060986,decrease erosion/stream sedimentation,,
20060986,education,education and awareness,
20060987,increase future stream shading/increase vegetation to provide shade,,
20060987,increase streambank stabilization/protection,,
20060987,decrease erosion/stream sedimentation,,
20060987,education,education and awareness,
20060988,increase future stream shading/increase vegetation to provide shade,,
20060988,increase streambank stabilization/protection,,
20060988,decrease erosion/stream sedimentation,,
20060988,education,education and awareness,
20060989,increase future stream shading/increase vegetation to provide shade,,
20060989,increase streambank stabilization/protection,,
20060989,decrease erosion/stream sedimentation,,
20060989,education,education and awareness,
20060990,increase future stream shading/increase vegetation to provide shade,,
20060990,increase streambank stabilization/protection,,
20060990,decrease erosion/stream sedimentation,,
20060990,education,education and awareness,
20060991,increase future stream shading/increase vegetation to provide shade,,
20060991,increase streambank stabilization/protection,,
20060991,decrease erosion/stream sedimentation,,
20060991,education,education and awareness,
20060992,increase future stream shading/increase vegetation to provide shade,,
20060992,increase streambank stabilization/protection,,
20060992,decrease erosion/stream sedimentation,,
20060992,education,education and awareness,
20060993,increase future stream shading/increase vegetation to provide shade,,
20060993,increase streambank stabilization/protection,,
20060993,decrease erosion/stream sedimentation,,
20060993,education,education and awareness,
20060994,increase future stream shading/increase vegetation to provide shade,,
20060994,increase streambank stabilization/protection,,
20060994,decrease erosion/stream sedimentation,,
20060994,education,education and awareness,
20060995,increase future stream shading/increase vegetation to provide shade,,
20060995,increase streambank stabilization/protection,,
20060995,decrease erosion/stream sedimentation,,
20060995,education,education and awareness,
20060996,increase future stream shading/increase vegetation to provide shade,,
20060996,increase streambank stabilization/protection,,
20060996,decrease erosion/stream sedimentation,,
20060996,education,education and awareness,
20060997,increase future stream shading/increase vegetation to provide shade,,
20060997,increase streambank stabilization/protection,,
20060997,decrease erosion/stream sedimentation,,
20060997,education,education and awareness,
20060998,increase future stream shading/increase vegetation to provide shade,,
20060998,increase streambank stabilization/protection,,
20060998,decrease erosion/stream sedimentation,,
20060998,education,education and awareness,
20060999,increase future stream shading/increase vegetation to provide shade,,
20060999,increase streambank stabilization/protection,,
20060999,decrease erosion/stream sedimentation,,
20060999,education,education and awareness,
20061000,increase future stream shading/increase vegetation to provide shade,,
20061000,increase streambank stabilization/protection,,
20061000,decrease erosion/stream sedimentation,,
20061000,education,education and awareness,
20061001,increase future stream shading/increase vegetation to provide shade,,
