change_indicator,pre_review,post_review,possible_matches
1,scabby hollow ranch,scabby hollow ranch llc,{'scabby hollow ranch llc'}
1,sea wind farms,sea wind farms inc,{'sea wind farms inc'}
1,seven oaks farm,seven oaks farms,{'seven oaks farms'}
1,shuttle northern lights christmas tree farm,northern lights christmas tree farm,{'northern lights christmas tree farm'}
1,sigman ranches,sigman ranch,{'sigman ranch'}
1,silver lake community watershed council,silver lake watershed council,{'silver lake watershed council'}
1,solv,solve,{'solve'}
1,south board irrigation district,south board of control irrigation district,"{'south board of control irrigation district', 'arnold irrigation district'}"
1,south coast fishermen,oregon south coast fisherman,{'oregon south coast fishermen'}
1,south coast watersheds,south coast watershed council,{'south coast watershed council'}
1,south santiam watershed council volunteers,south santiam watershed council,"{'south santiam watershed council', 'volunteers luckiamute watershed council'}"
1,stroda bros,stroda brothers farm,{'stroda bros farm'}
1,stroda brothers farm,stroda brothers farm,"{'stroda brothers farms', 'stroda bros farm'}"
1,stroda brothers farms,stroda brothers farm,"{'stroda brothers farm', 'stroda bros farm'}"
1,sunriver homeowner s association,sunriver owners association,"{'river meadows homeowners association', 'sunriver owners association', 'skyview homeowner association'}"
1,taylor ranch,taylor ranch inc,{'taylor ranch inc'}
1,terra tech inc,terra tech,{'terra tech'}
1,the campbell group,campbell group llc,{'campbell group llc'}
1,thompson gates timber,thompson timber co,{'thompson timber co'}
1,thomson family evans timber,thomson family evans timber llc,{'thomson family evans timber llc'}
1,three valley s ranches,three valleys ranch,{'three valleys ranch'}
1,tillamook bay national estuary project tcpp,tillamook bay national estuary project,{'tillamook bay national estuary project'}
1,tillamook school district 9,tillamook school district,{'tillamook school district'}
1,timber basin contractors,timber basin contractors llc,{'timber basin contractors llc'}
1,timber service company,timber service co,{'timber service co'}
1,tree top ranch,tree top ranches,{'tree top ranches'}
1,umatilla basin watershed foundation,umatilla basin watershed council,"{'umatilla basin watershed council', 'walla walla basin watershed foundation'}"
1,umatilla county weed control,umatilla county weed department,"{'klamath county weed control', 'grant county weed control', 'union county weed control', 'wallowa county weed control'}"
1,umpqua flyfishers association,umpqua fishermens association,{'umpqua fishermen s association'}
1,valentine construction inc,c valentine construction inc,{'c valentine constructing inc'}
1,volunteers,volunteer,"{'volunteer', 'sfi volunteers'}"
1,volunteers clackamas river basin council,clackamas river basin council,"{'clackamas river basin council', 'volunteers organized by clackamas river basin council'}"
1,volunteers columbia slough watershed council,columbia slough watershed council,"{'columbia slough watershed council', 'lower columbia watershed council'}"
1,volunteers confederated tribes of grand ronde,confederated tribes of grand ronde,{'confederated tribes of grand ronde'}
1,volunteers luckiamute watershed council,luckiamute watershed council,"{'south santiam watershed council volunteers', 'volunteers oswego lake watershed council', 'luckiamute watershed council'}"
1,volunteers nestucca neskowin watershed council,nestucca neskowin watershed council,"{'nestucca neskowin watersheds council', 'nestucca neskowin watershed council'}"
1,volunteers organized by clackamas river basin council,clackamas river basin council,{'volunteers clackamas river basin council'}
1,volunteers oswego lake watershed council,oswego lake watershed council,"{'oswego lake watershed council', 'volunteers luckiamute watershed council'}"
1,volunteers santiam wilderness academy,santiam wilderness academy,{'santiam wilderness academy'}
1,volunteers upper rogue watershed association,upper rogue watershed association,{'upper rogue watershed association'}
1,wahl 3 ranch,wahl ranches co,{'wahl ranches co'}
1,wahl ranches llc,wahl ranches co,"{'wampler ranches llc', 'wahl ranches co'}"
1,walla walla basin watershed foundation,walla walla basin watershed council,"{'umatilla basin watershed foundation', 'walla walla basin watershed council', 'walla walla watershed foundation'}"
1,walla walla watershed foundation,walla walla basin watershed council,"{'walla walla basin watershed foundation', 'walla walla county watershed planning', 'walla walla watershed planning'}"
1,walla walla watershed planning,walla walla county watershed planning,"{'walla walla watershed alliance', 'walla walla watershed foundation', 'walla walla county watershed planning'}"
1,wallowa county public works vegetation department,wallowa county vegetation department,{'wallowa county vegetation department'}
1,wallowa county weed control,wallowa county weed department,"{'crook county weed control', 'klamath county weed control', 'morrow county weed control', 'grant county weed control', 'umatilla county weed control', 'union county weed control'}"
1,wampler ranches,wampler ranches llc,{'wampler ranches llc'}
1,weedman ranch,weedman ranches inc,"{'widman ranch', 'weedman ranches inc'}"
1,west family ranch,west family ranch llc,"{'west family ranch llc', 'smith family ranch'}"
1,westbrook land timber,westbrook timber,{'westbrook timber'}
1,western rivers land conservancy,western rivers conservancy,"{'three rivers land conservancy', 'western rivers conservancy'}"
1,white butte ranch,white butte ranch llc,"{'twin buttes ranch', 'white butte ranch llc'}"
1,whitewater ranch,whitewater ranch llc,{'whitewater ranch llc'}
1,wild turkey foundation,national wild turkey foundation,"{'wild turkey federation', 'national wild turkey foundation'}"
1,willamette habitat restoration,willamette habitat restoration fund,"{'willamette restoration initiative', 'willamette habitat restoration fund'}"
1,wolfe ranch inc,wolfe ranch,{'wolfe ranch'}
1,grande ronde model watershed,grande ronde model watershed council,"{'grande ronde model watershed foundation', 'grande ronde model watershed program'}"
1,haley construction,haley construction co inc,"{'hatley construction', 'pardue construction', 'haley construction co inc', 'harper construction', 'lemax construction', 'jal construction'}"
1,international paper,international paper company,{'international paper company'}
2,international paper company,international paper company,{'international paper'}
2,anderson ranch,anderson ranch,"{'anderson ranches', 'andersen ranches'}"
2,ane forest of oregon,ane forest of oregon,{'forest of oregon'}
2,antone ranch,antone ranch,"{'antone ranch llc', 'antonne ranch'}"
2,applegate partnership watershed council,applegate partnership watershed council,{'applegate river watershed council'}
2,arriola ranch,arriola ranch,{'harrison ranch'}
2,baertlein construction,baertlein construction,"{'bergerson construction', 'joe baertlein construction'}"
2,bettis ranches,bettis ranches,"{'betts ranch', 'harry bettis ranches'}"
2,bridge creek ranch,bridge creek ranch,"{'bridge creek ranch llc', 'bear creek ranch'}"
2,broken spur ranch,broken spur ranch,"{'broken spur ranches', 'broken spur ranches llc'}"
2,butler creek farm,butler creek farm,"{'butler creek farms', 'butler creek farm inc'}"
2,campbell cattle ranch,campbell cattle ranch,{'campbell cattle ranch llc'}
2,campbell group llc,campbell group llc,{'the campbell group'}
2,cape lockhart ranches,cape lockhart ranches,{'lockhart ranches'}
2,clackamas river basin council,clackamas river basin council,{'volunteers clackamas river basin council'}
2,columbia county road department,columbia county road department,"{'columbia county roads and parks department', 'coos county road department', 'clackamas county road department', 'baker county road department', 'columbia county parks department', 'columbia county roads department'}"
2,columbia slough watershed council,columbia slough watershed council,"{'lower columbia watershed council', 'lower columbia river watershed council', 'south coast watershed council', 'volunteers columbia slough watershed council'}"
2,community member,community member,{'community members'}
2,confederated tribes of grand ronde,confederated tribes of grand ronde,{'volunteers confederated tribes of grand ronde'}
2,coos county noxious weed advisory board,coos county noxious weed advisory board,{'coos county weed advisory board'}
2,coos forest protection association,coos forest protection association,{'douglas forest protection association'}
2,copeland sand and gravel inc,copeland sand and gravel inc,{'copeland sand gravel'}
2,crook county weed control,crook county weed control,"{'klamath county weed control', 'morrow county weed control', 'grant county weed control', 'union county weed control', 'wallowa county weed control'}"
2,crook estates,crook estates,{'crook estate'}
2,crooked river weed management area,crooked river weed management area,{'crooked river weed management area board members'}
2,cutthroat country consulting,cutthroat country consulting,{'cutthroat county consulting'}
2,d r ranches,d r ranches,"{'andre ranches', 'dow ranches', 'd r ranches llc'}"
2,dahle orchards,dahle orchards,"{'galvez orchards', 'dahle orchard'}"
2,dallas high school,dallas high school,"{'dallas high school ffa', 'ashland high school'}"
2,davidson industries inc,davidson industries inc,{'davidson industries'}
2,deck family farm,deck family farm,{'deck family farms'}
2,deschutes mitigation and enhancement committee,deschutes mitigation and enhancement committee,{'deschutes mitigation and enhancement'}
2,deschutes resources conservancy,deschutes resources conservancy,"{'deschutes river conservancy', 'deschutes resources council'}"
2,dixie meadows co,dixie meadows co,{'dixie meadow co ranch'}
2,dow ranches,dow ranches,"{'dow ranch', 'd r ranches'}"
2,dr johnson lumber company,dr johnson lumber company,{'dr johnson lumber co'}
2,elmwood ranches inc,elmwood ranches inc,{'elmwood ranches'}
2,full circle bison ranch,full circle bison ranch,{'full circle bison ranch herb pharm'}
2,george fox university,george fox university,{'george fox university students'}
2,gilliam east john day watershed council,gilliam east john day watershed council,"{'east lower john day watershed council', 'east john day watershed council'}"
2,glavey ranches llc,glavey ranches llc,"{'glaney ranches llc', 'glavey ranches'}"
2,gray ranch inc,gray ranch inc,{'gray ranch'}
2,green diamond resource company,green diamond resource company,{'green diamond timber resource company'}
2,green tree excavation,green tree excavation,{'green excavation'}
2,griffith livestock llc,griffith livestock llc,{'griffith livestock'}
2,habitat contracting llc,habitat contracting llc,{'habitat contracting'}
2,hampton resources inc,hampton resources inc,{'hampton resources'}
2,hardie family partnership,hardie family partnership,"{'harmon family limited partnership', 'hardie partnership'}"
2,harrison ranch,harrison ranch,"{'arriola ranch', 'arriens ranch', 'harrison ranches'}"
2,hashknife ranch,hashknife ranch,{'hash knife ranch'}
2,hildebrand ranches llc,hildebrand ranches llc,{'hildebrand ranches'}
2,hill ranches inc,hill ranches inc,{'hill ranches'}
2,holliday family ranches inc,holliday family ranches inc,{'clyde holliday family ranches inc'}
2,ironside associates,ironside associates,{'ironside associates ranches'}
2,iz ranch llc,iz ranch llc,"{'king ranch llc', 'gm ranch llc'}"
2,jackson county job council,jackson county job council,{'jobs council of jackson county'}
2,josephine county parks department,josephine county parks department,"{'douglas county parks department', 'josephine county planning department'}"
2,kennerly ranches llc,kennerly ranches llc,{'kennerly ranches'}
2,klamath country flycasters,klamath country flycasters,{'klamath flycasters'}
2,klamath watershed council,klamath watershed council,"{'midcoast watersheds council', 'malheur watershed council', 'luckiamute watershed council'}"
2,lake county resources initiative,lake county resources initiative,{'lake county research initiative'}
2,lake county umbrella watershed council,lake county umbrella watershed council,"{'harney county watershed council', 'lake county watershed council', 'lake county watershed councils'}"
2,linn county road department,linn county road department,"{'malheur county road department', 'jefferson county road department', 'coos county road department', 'lake county road department', 'grant county road department', 'lincoln county road department', 'lane county road department', 'gilliam county road department', 'linn county hwy department'}"
2,lobster creek partnership,lobster creek partnership,{'lobster partnership'}
2,lonerock ranch,lonerock ranch,"{'lonerock ranch llc', 'lonerock ranch inc'}"
2,lower columbia estuary partnership,lower columbia estuary partnership,{'lower columbia river estuary partnership'}
2,lower columbia river watershed council,lower columbia river watershed council,"{'columbia slough watershed council', 'lower columbia watershed council'}"
2,luckiamute watershed council,luckiamute watershed council,"{'mckenzie watershed council', 'klamath watershed council', 'volunteers luckiamute watershed council'}"
2,m smith ranch,m smith ranch,"{'smith family ranch', 'm smith ranches', 'j smith ranch'}"
2,m5 land company,m5 land company,"{'m 5 land company', 'limnes land company'}"
2,mackenzie ranch,mackenzie ranch,{'mackenzie ranches'}
2,mast farms inc,mast farms inc,"{'mast farms', 'jrs farms inc'}"
2,michaels ranch llc,michaels ranch llc,{'michaels ranch'}
2,mid john day watershed council,mid john day watershed council,"{'east lower john day watershed council', 'south fork john day watershed council', 'east john day watershed council', 'north fork john day watershed council', 'mid john day bridge creek watershed council'}"
2,milton freewater water control district,milton freewater water control district,{'milton freewater flood control district'}
2,molalla river watch inc,molalla river watch inc,{'molalla river watch'}
2,mountain park home owners association,mountain park home owners association,"{'mountain park home owners association volunteers', 'mountain meadows owners association'}"
2,murphy ditch association,murphy ditch association,{'murphy creek ditch association'}
2,naco noaa fisheries,naco noaa fisheries,{'noaa fisheries'}
2,national wild turkey foundation,national wild turkey foundation,{'wild turkey foundation'}
2,neskowin valley schools,neskowin valley schools,{'neskowin valley school'}
2,nestucca neskowin watershed council,nestucca neskowin watershed council,"{'nestucca watershed council', 'nestucca neskowin sand lake watersheds council', 'nestucca neskowin watersheds council', 'volunteers nestucca neskowin watershed council'}"
2,nolin farming co,nolin farming co,{'nolin farming'}
2,northern lights christmas tree farm,northern lights christmas tree farm,{'shuttle northern lights christmas tree farm'}
2,olsen ranch,olsen ranch,"{'olsen ranch gp', 'cole ranch'}"
2,oregon army national guard,oregon army national guard,{'oregon national guard'}
2,oregon foundation for north american wild sheep,oregon foundation for north american wild sheep,{'foundation for north american wild sheep'}
2,oregon small woodlands association,oregon small woodlands association,{'central oregon small woodlands association'}
2,oregon south coast fishermen,oregon south coast fishermen,{'south coast fishermen'}
2,oregon wildlife foundation,oregon wildlife foundation,{'oregon wildlife heritage foundation'}
2,oswego lake watershed council,oswego lake watershed council,"{'silver lake watershed council', 'volunteers oswego lake watershed council'}"
2,pacific power,pacific power,{'pacific power light'}
2,parametrix,parametrix,{'parametrix inc'}
2,philomath high school,philomath high school,{'philomath high school students'}
2,philomath scout lodge inc,philomath scout lodge inc,{'philomath scout lodge'}
2,plum creek timberlands,plum creek timberlands,"{'plum creek timberlands lp', 'plum creek timberlands llc'}"
2,polk county fire district no 1,polk county fire district no 1,"{'polk fire district no 1', 'polk county fire district'}"
2,port of tillamook bay,port of tillamook bay,{'port of tillamook'}
2,portland public schools,portland public schools,{'portland schools'}
2,powers high school native species center,powers high school native species center,{'native species center at powers high school'}
2,private citizens,private citizens,{'private citizen'}
2,private landowner,private landowner,"{'private landowners 5', 'private landowner mc029', 'private landowner mc004', 'private landowners', 'private landowner former', 'private landowner lessee', 'private landowner 1', 'private landowner 2', 'private landowner mc006'}"
2,rd johns farms inc,rd johns farms inc,{'r d johns farm inc'}
2,reed ranch ltd partnership,reed ranch ltd partnership,{'reed ranch limited partnership'}
2,rockin j ranch,rockin j ranch,"{'rocking nine ranch', 'rocking c ranch', 'rock n j ranch', 'rocking 9 ranch'}"
2,rocking 9 ranch,rocking 9 ranch,"{'rocking nine ranch', 'rocking c ranch', 'rockin j ranch'}"
2,rudio creek ranch,rudio creek ranch,"{'rudio creek ranch llc', 'rock creek ranch', 'tri creek ranch'}"
2,ry timber inc,ry timber inc,{'ry timber'}
2,salmon drift creek watershed council,salmon drift creek watershed council,"{'pringle creek watershed council', 'salmon drift creek watersheds council', 'floras creek watershed council', 'johnson creek watershed council', 'tryon creek watershed council'}"
2,santiam wilderness academy,santiam wilderness academy,{'volunteers santiam wilderness academy'}
2,scabby hollow ranch llc,scabby hollow ranch llc,{'scabby hollow ranch'}
2,sea wind farms inc,sea wind farms inc,{'sea wind farms'}
2,seven oaks farms,seven oaks farms,{'seven oaks farm'}
2,sigman ranch,sigman ranch,"{'widman ranch', 'sigman ranches'}"
2,silver lake watershed council,silver lake watershed council,"{'malheur watershed council', 'oswego lake watershed council', 'mosier watershed council', 'crooked river watershed council', 'elk sixes watershed council', 'silver lake community watershed council', 'marys river watershed council'}"
2,solve,solve,{'solv'}
2,south board of control irrigation district,south board of control irrigation district,"{'south board irrigation district', 'south board of control irrigation district landowners'}"
2,south coast watershed council,south coast watershed council,"{'columbia slough watershed council', 'south coast watersheds'}"
2,south santiam watershed council,south santiam watershed council,"{'south santiam watershed council volunteers', 'north santiam watershed council'}"
2,stroda bros farm,stroda bros farm,"{'stroda bros', 'stroda brothers farms', 'stroda brothers farm'}"
2,sunriver owners association,sunriver owners association,{'sunriver homeowner s association'}
2,taylor ranch inc,taylor ranch inc,{'taylor ranch'}
2,terra tech,terra tech,"{'tetra tech', 'terra tech inc'}"
2,thompson timber co,thompson timber co,{'thompson gates timber'}
2,thomson family evans timber llc,thomson family evans timber llc,{'thomson family evans timber'}
2,three valleys ranch,three valleys ranch,{'three valley s ranches'}
2,tillamook bay national estuary project,tillamook bay national estuary project,{'tillamook bay national estuary project tcpp'}
2,tillamook school district,tillamook school district,{'tillamook school district 9'}
2,timber basin contractors llc,timber basin contractors llc,{'timber basin contractors'}
2,timber service co,timber service co,{'timber service company'}
2,tree top ranches,tree top ranches,{'tree top ranch'}
2,umatilla basin watershed council,umatilla basin watershed council,"{'tillamook bay watershed council', 'walla walla basin watershed council', 'umatilla basin watershed foundation'}"
2,umatilla county weed department,umatilla county weed department,"{'umatilla county road department', 'wallowa county weed department', 'wasco county weed department', 'sherman county weed department', 'gilliam county weed department'}"
2,van eck forest foundation,van eck forest foundation,{'fred van eck forest foundation'}
2,volunteer,volunteer,{'volunteers'}
2,wahl ranches co,wahl ranches co,"{'wahl 3 ranch', 'wahl ranches llc'}"
2,walla walla basin watershed council,walla walla basin watershed council,"{'umatilla basin watershed council', 'walla walla basin watershed foundation'}"
2,walla walla county watershed planning,walla walla county watershed planning,"{'walla walla watershed foundation', 'walla walla watershed planning'}"
2,wallowa county vegetation department,wallowa county vegetation department,{'wallowa county public works vegetation department'}
2,wallowa county weed department,wallowa county weed department,"{'umatilla county weed department', 'gilliam county weed department', 'wasco county weed department'}"
2,wampler ranches llc,wampler ranches llc,"{'wahl ranches llc', 'wampler ranches'}"
2,weedman ranches inc,weedman ranches inc,{'weedman ranch'}
2,west family ranch llc,west family ranch llc,"{'vincent family ranches llc', 'west family ranch'}"
2,westbrook timber,westbrook timber,{'westbrook land timber'}
2,western rivers conservancy,western rivers conservancy,{'western rivers land conservancy'}
2,white butte ranch llc,white butte ranch llc,{'white butte ranch'}
2,whitewater ranch llc,whitewater ranch llc,{'whitewater ranch'}
2,willamette habitat restoration fund,willamette habitat restoration fund,"{'willamette restoration initiative', 'willamette habitat restoration'}"
2,wolfe ranch,wolfe ranch,{'wolfe ranch inc'}
3,contractor,contractor,{'contractors'}
3,local business,local business,{'local businesses'}
3,c valentine constructing inc,c valentine constructing inc,{'valentine construction inc'}
3,golden valley farms east,golden valley farms east,{'golden valley farms'}
3,nestucca tree farm llc c o hancock forest management,nestucca tree farm llc c o hancock forest management,{'nestucca tree farm c o hancock forest management gates tree farm'}
3,nestucca valley school district and students,nestucca valley school district and students,{'nestucca valley school district and teachers'}
3,nestucca valley school district and teachers,nestucca valley school district and teachers,{'nestucca valley school district and students'}
3,northwest oregon restoration partnership,northwest oregon restoration partnership,{'northern oregon watershed restoration partnership'}
3,pacific west timber company llc,pacific west timber company llc,{'pacific west timber llc'}
3,pacificorporation,pacificorporation,{'pacificorporation energy'}
3,r m knox sons inc,r m knox sons inc,{'r m knox sons'}
3,umpqua fishermen s association,umpqua fishermen s association,{'umpqua flyfishers association'}
3,buchler ranch,buchler ranch,"{'bunch ranch', 'buhler ranch', 'butler ranches'}"
3,buhler ranch,buhler ranch,"{'kuhl ranch', 'bush ranch', 'butler ranches', 'buchler ranch'}"
3,burnt river weed district board of directors,burnt river weed district board of directors,{'upper burnt river weed control district board of directors'}
3,coast fork willamette watershed council,coast fork willamette watershed council,{'middle fork willamette watershed council'}
3,drainage district,drainage district,"{'libby drainage district', 'larson drainage district'}"
3,hockema hockema construction,hockema hockema construction,{'john hockema construction'}
3,j smith farm,j smith farm,{'smith farms'}
3,j smith ranch,j smith ranch,"{'m smith ranches', 'm smith ranch'}"
3,jefferson county road department,jefferson county road department,"{'malheur county road department', 'lake county road department', 'grant county road department', 'linn county road department', 'lincoln county road department', 'lane county road department'}"
3,john hockema construction,john hockema construction,"{'bob hockema construction', 'hockema hockema construction'}"
3,lm cattle co,lm cattle co,{'lemmon cattle co'}
3,lockhart ranches,lockhart ranches,{'cape lockhart ranches'}
3,marys river watershed council,marys river watershed council,"{'silver lake watershed council', 'mosier watershed council', 'malheur watershed council', 'crooked river watershed council'}"
3,misc elementary school,misc elementary school,"{'mckinley elementary school', 'nestucca elementary school', 'helman elementary school'}"
3,monument high school,monument high school,{'monument schools'}
3,monument schools,monument schools,{'monument high school'}
3,nehalem watershed council,nehalem watershed council,"{'lower nehalem watershed council', 'rickreall watershed council', 'owyhee watershed council', 'malheur watershed council', 'necanicum watershed council', 'elk sixes watershed council', 'nestucca watershed council', 'upper nehalem watershed council'}"
3,neighborhood association,neighborhood association,{'grand oaks neighborhood association'}
3,nestucca valley elementary,nestucca valley elementary,{'nestucca elementary school'}
3,north fork falls ranch,north fork falls ranch,{'north fork ranch'}
3,northwest natives,northwest natives,{'pacific northwest natives'}
3,other federal participant,other federal participant,{'other participant'}
3,other participant,other participant,"{'other state participant', 'other federal participant'}"
3,other state participant,other state participant,{'other participant'}
3,oweb council capacity match,oweb council capacity match,{'oweb council capacity match 2'}
3,oweb council capacity match 2,oweb council capacity match 2,{'oweb council capacity match'}
3,pacific northwest natives,pacific northwest natives,{'northwest natives'}
3,planting volunteers,planting volunteers,{'volunteers planting'}
3,pringle creek watershed council,pringle creek watershed council,"{'trout creek watershed council', 'little butte creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'salmon drift creek watershed council', 'ecola creek watershed council', 'crooked river watershed council', 'fairview creek watershed council', 'floras creek watershed council', 'johnson creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
3,private companies,private companies,{'private parties'}
3,private industrial public log donations,private industrial public log donations,{'private non industrial public log donations'}
3,private landowner buckshot location,private landowner buckshot location,"{'private landowner h 8 location', 'private landowner haguewood location'}"
3,private landowner h 8 location,private landowner h 8 location,"{'private landowner buckshot location', 'private landowner haguewood location'}"
3,private landowner haguewood location,private landowner haguewood location,"{'private landowner buckshot location', 'private landowner h 8 location'}"
3,private landowner property 1,private landowner property 1,"{'private landowner 1', 'private landowner property 2'}"
3,private landowner property 2,private landowner property 2,"{'private landowner 2', 'private landowner property 1'}"
3,private landowners multiple 11,private landowners multiple 11,{'private landowners multiple'}
3,private non industrial public log donations,private non industrial public log donations,{'private industrial public log donations'}
3,private parties,private parties,{'private companies'}
3,salem audubon society,salem audubon society,{'audubon society'}
3,sandy river basin watershed council,sandy river basin watershed council,"{'sandy river watershed council', 'seven basins watershed council'}"
3,sandy river watershed council,sandy river watershed council,"{'rogue river watershed council', 'sandy river basin watershed council', 'tualatin river watershed council', 'smith river watershed council'}"
3,school district 9,school district 9,"{'adrian school district', 'condon school district'}"
3,sfi volunteers,sfi volunteers,"{'step volunteers', 'volunteers misc', 'volunteers'}"
3,smith family farms,smith family farms,"{'fluitt family farms', 'kester family farms'}"
3,smith family ranch,smith family ranch,"{'m smith ranch', 'west family ranch'}"
3,smith farms,smith farms,"{'smith seed farms', 'j smith farm'}"
3,south board of control irrigation district landowners,south board of control irrigation district landowners,{'south board of control irrigation district'}
3,south fork john day watershed council,south fork john day watershed council,"{'upper south fork john day watershed council', 'mid john day watershed council', 'north fork john day watershed council', 'upper south fork john day river watershed council'}"
3,step volunteer,step volunteer,"{'student volunteers', 'step volunteers'}"
3,step volunteers,step volunteers,"{'student volunteers', 'step volunteer', 'sfi volunteers'}"
3,student volunteers,student volunteers,"{'step volunteers', 'step volunteer'}"
3,upper burnt river weed control district board of directors,upper burnt river weed control district board of directors,{'burnt river weed district board of directors'}
3,upper deschutes watershed council,upper deschutes watershed council,"{'middle deschutes watershed council', 'upper rogue watershed council', 'deschutes county watershed council', 'upper nehalem watershed council', 'upper sycan watershed council'}"
3,upper nehalem watershed council,upper nehalem watershed council,"{'lower nehalem watershed council', 'malheur watershed council', 'upper deschutes watershed council', 'upper rogue watershed council', 'upper sycan watershed council', 'nehalem watershed council'}"
3,upper rogue watershed association,upper rogue watershed association,"{'volunteers upper rogue watershed association', 'upper rogue watershed council'}"
3,upper rogue watershed council,upper rogue watershed council,"{'upper deschutes watershed council', 'upper nehalem watershed council', 'upper sycan watershed council', 'upper rogue watershed association'}"
3,upper south fork john day river watershed council,upper south fork john day river watershed council,"{'upper south fork john day watershed council', 'north fork john day watershed council', 'south fork john day watershed council'}"
3,upper south fork john day watershed council,upper south fork john day watershed council,"{'south fork john day watershed council', 'north fork john day watershed council', 'upper south fork john day river watershed council'}"
3,upper sycan watershed council,upper sycan watershed council,"{'upper deschutes watershed council', 'upper rogue watershed council', 'upper nehalem watershed council'}"
3,various community volunteers,various community volunteers,"{'volunteers community volunteers', 'community volunteers', 'volunteers community'}"
3,various volunteer groups,various volunteer groups,{'various volunteers'}
3,various volunteers,various volunteers,"{'volunteers americorps', 'various volunteer groups'}"
3,volunteers community,volunteers community,"{'council volunteers', 'various community volunteers', 'community volunteers'}"
3,volunteers community volunteers,volunteers community volunteers,"{'volunteers crbc volunteers', 'various community volunteers'}"
3,volunteers misc,volunteers misc,"{'sfi volunteers', 'volunteers srbwc'}"
3,volunteers planting,volunteers planting,{'planting volunteers'}
3,volunteers srbwc,volunteers srbwc,{'volunteers misc'}
3,volunteers youth watershed council,volunteers youth watershed council,{'volunteers sweet home youth watershed council'}
