,PROJNUM,Participants
10528,20060865,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10529,20060866,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10530,20060867,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Balance Restoration Nursery, Council Volunteers, Deadwood Community Services"
10531,20060868,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10532,20060869,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10533,20060870,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10534,20060871,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10535,20060872,"Siuslaw Watershed Council, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10536,20060873,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10537,20060874,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10538,20060875,"Siuslaw Watershed Council, Alpha Farm Co-op, Inc., OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10539,20060876,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10540,20060877,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10541,20060878,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10542,20060879,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10543,20060880,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10544,20060881,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10545,20060882,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Balance Restoration Nursery, Council Volunteers, Deadwood Community Services"
10546,20060883,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10547,20060884,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10548,20060885,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10549,20060886,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10550,20060887,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10551,20060888,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10552,20060889,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10553,20060890,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10554,20060891,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10555,20060892,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10556,20060893,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10557,20060894,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Balance Restoration Nursery, Council Volunteers"
10558,20060895,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10559,20060896,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10560,20060897,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10561,20060898,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10562,20060899,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10563,20060900,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10564,20060901,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10565,20060902,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10566,20060903,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Balance Restoration Nursery, Council Volunteers, Deadwood Community Services"
10567,20060904,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10568,20060905,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10569,20060906,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10570,20060907,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10571,20060908,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10572,20060909,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10573,20060910,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10574,20060911,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10575,20060912,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10576,20060913,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10577,20060914,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10578,20060915,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10579,20060916,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10580,20060917,"Siuslaw Watershed Council, Private Landowner, OWEB, Terra Tech, Inc., Weyerhaeuser Company, ODF, USFS, Roseburg Forest Products, Private Citizen, Doak Creek Nursery, Deadwood Community Services, Balance Restoration Nursery, Council Volunteers"
10581,20060918,"Wallowa SWCD, Private Landowner, OWEB"
10582,20060920,"Tenmile Lakes Basin Partnership, Coos County Highway Department, OWEB, DEQ, Eel/Tenmile STEP, City of Lakeside, Edmunds Estate"
10583,20060921,"Tualatin River Watershed Council, Private Landowner, OWEB, ODF"
10584,20060923,"ODF, ODF"
10585,20060924,"ODF, ODF"
10586,20060925,"ODF, ODF"
10587,20060926,"ODF, ODF"
10588,20060927,"ODF, ODF"
10589,20060928,"ODF, ODF"
10590,20060929,"ODF, ODF"
10591,20060930,"ODF, ODF"
10592,20060931,"ODF, ODF"
10593,20060932,"ODF, ODF"
10594,20060933,"ODF, ODF"
10595,20060934,"ODF, ODF"
10596,20060935,"ODF, ODF"
10597,20060936,"ODF, ODF"
10598,20060937,"ODF, ODF"
10599,20060938,"ODF, ODF"
10600,20060939,"ODF, ODF"
10601,20060940,"ODF, ODF"
10602,20060941,"ODF, ODF"
10603,20060942,"ODF, ODF"
10604,20060943,"ODF, ODF"
10605,20060944,"The Siuslaw Institute, Inc., Private Landowner, Private Landowner, Private Landowner, Private Landowner, Private Landowner, OWEB, BLM, USFWS"
10606,20060945,"Wasco SWCD, Private Landowner, OWEB, Deschutes Resources Conservancy"
10607,20060946,"Elk Creek Watershed Council, Private Landowner, Private Landowner, Private Landowner, Umpqua Fishery Enhancement Derby"
10608,20060947,"Owyhee Watershed Council, Private Landowner, NRCS, OWEB"
10609,20060948,"South Coast Watershed Council, Salmon Run Golf Course, OWEB"
10610,20060949,"South Coast Watershed Council, Private Landowner, OWEB"
10611,20060950,"South Coast Watershed Council, Oregon Parks & Recreation Department, OWEB"
10612,20060951,"South Coast Watershed Council, Private Landowner, OWEB"
10613,20060952,"South Coast Watershed Council, Private Landowner, OWEB"
10614,20060953,"South Coast Watershed Council, Private Landowner, OWEB, State of Oregon, Private Landowner, Private Landowner"
10615,20060954,"South Coast Watershed Council, Private Landowner, OWEB"
10616,20060955,"Middle Fork Irrigation District, USFS, OWEB, BPA, Hood River Watershed Group, Confederated Tribes of Warm Springs Reservation"
10617,20060956,"Fort Rock/Silver Lake SWCD, Private Landowner, OWEB"
10618,20060957,"Wallowa Resources, USFS, BPA, OWEB, The Nature Conservancy"
10619,20060958,"Douglas SWCD, Private Landowner, OWEB, BLM"
10620,20060959,"North Fork John Day Watershed Council, Private Landowners (multiple), OWEB, Burns/Campbell Livestock Association, Robert Van Schoiak, Rocky Mountain Elk Foundation, Blue Mountain Elk Initiative, USFS, Monument SWCD"
10621,20060960,"Malheur Watershed Council, Private Landowner, OWEB"
10622,20060961,"Malheur Watershed Council, Private Landowner, OWEB, USFS"
10623,20060962,"Malheur Watershed Council, Private Landowner, OWEB"
10624,20060963,"Malheur Watershed Council, Private Landowner, OWEB"
10625,20060964,"Ducks Unlimited, Inc., Private Landowner, OWEB, ODFW, NRCS, USFWS"
10626,20060965,"Oregon Country Fair, OWEB"
10627,20060966,"StreamWise, Private Landowner, USFWS, OWEB"
10628,20060967,"REACH, Inc., USFS, High Desert Trail Riders, OWEB"
10629,20060968,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10630,20060969,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10631,20060970,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10632,20060971,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10633,20060972,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10634,20060973,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10635,20060974,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10636,20060975,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10637,20060976,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10638,20060977,"Middle Rogue Watershed Council, BLM, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10639,20060978,"Middle Rogue Watershed Council, BLM, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10640,20060979,"Middle Rogue Watershed Council, Josephine County, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10641,20060980,"Middle Rogue Watershed Council, Josephine County, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10642,20060981,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10643,20060982,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10644,20060983,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10645,20060984,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10646,20060985,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10647,20060986,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10648,20060987,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10649,20060988,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10650,20060989,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10651,20060990,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10652,20060991,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10653,20060992,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10654,20060993,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10655,20060994,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10656,20060995,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10657,20060996,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10658,20060997,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10659,20060998,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10660,20060999,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10661,20061000,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10662,20061001,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10663,20061002,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10664,20061003,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10665,20061004,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10666,20061005,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10667,20061006,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10668,20061007,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10669,20061008,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10670,20061009,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10671,20061010,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10672,20061011,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10673,20061012,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10674,20061013,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10675,20061014,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10676,20061015,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10677,20061016,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10678,20061017,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10679,20061018,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10680,20061019,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10681,20061020,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10682,20061021,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10683,20061022,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10684,20061023,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10685,20061024,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
10686,20061025,"Middle Rogue Watershed Council, Private Landowner, OWEB, volunteers, BLM, ODF, Josephine County Public Works, Swanson Group, Inc., Josephine SWCD, Oregon State University, ODFW, EPA, Josephine County"
